2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_arm: -1.059999942779541 0.11999999731779099 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_tail: -1.059999942779541 0.7699999809265137 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_rod: -1.307499885559082 0.11999999731779099 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    leverAngle: 0 deg
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    pistonPosition: 0 m
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    rodLengthError: 0.1955 m
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=24, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=3, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=24, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔧 SuspensionCorner initialized:
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_arm: 1.059999942779541 0.11999999731779099 -1.190000057220459
